2270
4099	1.994	0.132	349
4100	1.417	0.102	33
4103	1.326	0.041	10
4104	1.222	0.036	479
4105	1.138	0.019	24
4107	2.273	0.212	147
4108	1.976	0.111	230
4109	1.59	0.14	791
4113	1.555	0.015	4
4115	2.653	0.186	305
4116	2.323	0.148	159
4117	2.071	0.154	113
4118	1.883	0.11	147
4119	1.786	0.114	32
4120	1.755	0.114	74
4121	1.635	0.149	102
4122	1.578	0.13	626
4123	1.494	0.145	140
4124	1.538	0.146	231
4125	1.75	0.098	390
4126	1.664	0.161	119
4127	1.504	0.131	182
4133	2.733	0.143	30
4134	2.544	0.203	41
4135	2.225	0.116	618
4136	2.052	0.138	488
4137	1.866	0.161	69
4138	1.72	0.153	290
4140	1.699	0.141	1813
4141	1.609	0.184	449
4142	1.639	0.128	100
4143	1.92	0.144	68
4144	1.791	0.237	7
4145	1.722	0.066	21
4146	1.68	0.133	79
4147	1.671	0.247	13
4151	3.02	0.081	89
4152	2.664	0.071	37
4153	2.427	0.106	165
4154	2.39	0.023	21
4155	2.45	0.134	30
4156	2.408	0.115	192
4158	2.4	0.17	111
4159	2.377	0.136	41
4160	2.291	0.287	26
4161	2.178	0.316	17
4162	2.31	0.139	248
4163	2.212	0.12	82
4164	2.334	0.252	55
4165	2.246	0.127	36
4166	2.328	0.177	210
4167	2.189	0.147	157
4168	2.15	0.161	22
4169	1.852	0.145	119
4170	1.66	0.149	221
4171	1.763	0.134	369
4172	1.722	0.153	688
4173	1.573	0.159	927
4174	1.649	0.162	215
4175	1.649	0.146	8
4176	1.976	0.132	6
4177	2.174	0.089	2
4178	2.03	0.099	13
4179	0.95	-1.0	1
4186	2.331	0.206	24
4188	2.323	0.13	119
4189	2.113	0.08	12
4190	2.321	0.0	2
4359	1.304	0.077	23
4360	1.257	0.038	46
12291	2.844	0.228	961
12292	2.78	0.109	3
12293	2.383	0.138	19
12294	2.226	0.091	268
12299	3.082	0.251	88
12300	2.844	0.146	9
12301	3.029	0.207	3
12302	2.715	0.107	158
12307	3.346	0.298	26
12308	3.205	0.245	16
12312	2.53	0.01	2
12316	2.457	0.024	8
12317	2.493	0.047	4
12318	2.88	-1.0	1
12319	2.615	0.224	3
12320	2.872	0.122	230
12325	3.554	0.251	16
12326	3.273	0.201	21
12330	3.075	-1.0	1
12333	2.815	0.003	2
12334	2.679	0.0	2
12338	2.876	0.092	78
12339	2.863	0.077	18
12343	3.578	0.175	7
12344	3.37	0.145	35
12346	2.859	0.0	4
12352	2.722	0.017	4
12354	2.72	0.013	4
12355	2.714	0.006	2
12357	2.703	0.005	2
12365	2.615	-1.0	1
12367	2.729	0.0	2
12368	2.841	0.0	2
12369	2.889	0.082	5
12370	2.913	0.126	64
12549	2.448	0.108	26
12550	2.271	0.112	1070
12805	2.63	0.0	2
12806	2.219	0.112	35
16388	2.297	0.07	35
16389	2.022	0.097	6
16390	1.739	0.079	21
16395	2.926	0.107	13
16397	2.368	-1.0	1
16403	3.358	0.079	10
16404	2.995	-1.0	1
16416	2.399	0.154	3
16422	2.864	-1.0	1
16433	2.358	-1.0	1
16435	2.635	-1.0	1
16439	3.657	0.066	4
16442	3.052	0.0	4
